TimeObs (s) 	TimeJet (s) 	Rcoll (cm) 	DSGamma 	DSMass (g) 	UPGamma 	UPMass (g) 	Gammaf 	tau
2.16561e+00	6.27728e+03	1.88123e+14	1.36771e+02	2.05285e+28	4.00000e+02	5.56327e+25	1.37249e+02	9.28576e-02	
2.16768e+00	6.35531e+03	1.90462e+14	1.00000e+02	2.22531e+26	1.37249e+02	2.05841e+28	1.36777e+02	9.25422e-02	
2.16788e+00	6.36262e+03	1.90681e+14	1.36777e+02	2.08066e+28	4.00000e+02	5.56327e+25	1.37248e+02	9.02833e-02	
2.16995e+00	6.44063e+03	1.93020e+14	1.00000e+02	2.22531e+26	1.37248e+02	2.08623e+28	1.36783e+02	8.99785e-02	
2.17014e+00	6.44797e+03	1.93240e+14	1.36783e+02	2.10848e+28	4.00000e+02	5.56327e+25	1.37247e+02	8.78119e-02	
2.17221e+00	6.52594e+03	1.95577e+14	1.00000e+02	2.22531e+26	1.37247e+02	2.11404e+28	1.36788e+02	8.75172e-02	
2.17241e+00	6.53331e+03	1.95798e+14	1.36788e+02	2.13629e+28	4.00000e+02	5.56327e+25	1.37247e+02	8.54381e-02	
2.17448e+00	6.61125e+03	1.98135e+14	1.00000e+02	2.22531e+26	1.37247e+02	2.14186e+28	1.36794e+02	8.51530e-02	
2.17468e+00	6.61866e+03	1.98357e+14	1.36794e+02	2.16411e+28	4.00000e+02	5.56327e+25	1.37246e+02	8.31568e-02	
2.17674e+00	6.69657e+03	2.00693e+14	1.00000e+02	2.22531e+26	1.37246e+02	2.16967e+28	1.36799e+02	8.28808e-02	
2.17694e+00	6.70400e+03	2.00915e+14	1.36799e+02	2.19193e+28	4.00000e+02	5.56327e+25	1.37246e+02	8.09632e-02	
2.17901e+00	6.78188e+03	2.03250e+14	1.00000e+02	2.22531e+26	1.37246e+02	2.19749e+28	1.36804e+02	8.06960e-02	
2.17921e+00	6.78934e+03	2.03474e+14	1.36804e+02	2.21974e+28	4.00000e+02	5.56327e+25	1.37246e+02	7.88530e-02	
2.18128e+00	6.86720e+03	2.05808e+14	1.00000e+02	2.22531e+26	1.37246e+02	2.22531e+28	1.36809e+02	7.85942e-02	
2.18148e+00	6.87469e+03	2.06032e+14	1.36809e+02	2.24756e+28	4.00000e+02	5.56327e+25	1.37245e+02	7.68220e-02	
2.18354e+00	6.95251e+03	2.08365e+14	1.00000e+02	2.22531e+26	1.37245e+02	2.25312e+28	1.36814e+02	7.65713e-02	
2.18374e+00	6.96003e+03	2.08591e+14	1.36814e+02	2.27538e+28	4.00000e+02	5.56327e+25	1.37245e+02	7.48664e-02	
2.18581e+00	7.03783e+03	2.10923e+14	1.00000e+02	2.22531e+26	1.37245e+02	2.28094e+28	1.36819e+02	7.46233e-02	
2.18601e+00	7.04537e+03	2.11149e+14	1.36819e+02	2.30319e+28	4.00000e+02	5.56327e+25	1.37244e+02	7.29825e-02	
2.18807e+00	7.12314e+03	2.13481e+14	1.00000e+02	2.22531e+26	1.37244e+02	2.30876e+28	1.36823e+02	7.27467e-02	
2.18828e+00	7.13072e+03	2.13708e+14	1.36823e+02	2.33101e+28	4.00000e+02	5.56327e+25	1.37244e+02	7.11667e-02	
2.19034e+00	7.20846e+03	2.16038e+14	1.00000e+02	2.22531e+26	1.37244e+02	2.33657e+28	1.36828e+02	7.09381e-02	
2.19054e+00	7.21606e+03	2.16266e+14	1.36828e+02	2.35883e+28	4.00000e+02	5.56327e+25	1.37243e+02	6.94160e-02	
2.19261e+00	7.29377e+03	2.18596e+14	1.00000e+02	2.22531e+26	1.37243e+02	2.36439e+28	1.36832e+02	6.91941e-02	
2.19281e+00	7.30140e+03	2.18824e+14	1.36832e+02	2.38664e+28	4.00000e+02	5.56327e+25	1.37243e+02	6.77273e-02	
2.19487e+00	7.37909e+03	2.21153e+14	1.00000e+02	2.22531e+26	1.37243e+02	2.39220e+28	1.36837e+02	6.75119e-02	
2.19508e+00	7.38674e+03	2.21383e+14	1.36837e+02	2.41446e+28	4.00000e+02	5.56327e+25	1.37243e+02	6.60976e-02	
2.19714e+00	7.46441e+03	2.23711e+14	1.00000e+02	2.22531e+26	1.37243e+02	2.42002e+28	1.36841e+02	6.58884e-02	
2.19734e+00	7.47209e+03	2.23941e+14	1.36841e+02	2.44227e+28	4.00000e+02	5.56327e+25	1.37242e+02	6.45244e-02	
2.19940e+00	7.54972e+03	2.26269e+14	1.00000e+02	2.22531e+26	1.37242e+02	2.44784e+28	1.36845e+02	6.43211e-02	
2.19961e+00	7.55743e+03	2.26500e+14	1.36845e+02	2.47009e+28	4.00000e+02	5.56327e+25	1.37242e+02	6.30049e-02	
2.20167e+00	7.63504e+03	2.28826e+14	1.00000e+02	2.22531e+26	1.37242e+02	2.47565e+28	1.36849e+02	6.28074e-02	
2.20188e+00	7.64277e+03	2.29058e+14	1.36849e+02	2.49791e+28	4.00000e+02	5.56327e+25	1.37241e+02	6.15369e-02	
2.20394e+00	7.72035e+03	2.31384e+14	1.00000e+02	2.22531e+26	1.37241e+02	2.50347e+28	1.36853e+02	6.13450e-02	
2.20414e+00	7.72811e+03	2.31617e+14	1.36853e+02	2.52572e+28	4.00000e+02	5.56327e+25	1.37241e+02	6.01181e-02	
2.20620e+00	7.80567e+03	2.33942e+14	1.00000e+02	2.22531e+26	1.37241e+02	2.53129e+28	1.36857e+02	5.99314e-02	
2.20641e+00	7.81345e+03	2.34175e+14	1.36857e+02	2.55354e+28	4.00000e+02	5.56327e+25	1.37241e+02	5.87462e-02	
2.20847e+00	7.89099e+03	2.36499e+14	1.00000e+02	2.22531e+26	1.37241e+02	2.55910e+28	1.36861e+02	5.85646e-02	
2.20868e+00	7.89880e+03	2.36733e+14	1.36861e+02	2.58136e+28	4.00000e+02	5.56327e+25	1.37240e+02	5.74193e-02	
2.21073e+00	7.97630e+03	2.39057e+14	1.00000e+02	2.22531e+26	1.37240e+02	2.58692e+28	1.36864e+02	5.72426e-02	
