TimeObs (s) 	TimeJet (s) 	Rcoll (cm) 	DSGamma 	DSMass (g) 	UPGamma 	UPMass (g) 	Gammaf 	tau
8.77834e+00	7.65280e+03	2.29162e+14	8.93003e+01	3.67231e+28	1.07567e+02	2.06877e+26	8.93940e+01	1.40590e-01	
8.77913e+00	7.66541e+03	2.29540e+14	8.93940e+01	3.69300e+28	1.07853e+02	2.06327e+26	8.94878e+01	1.40421e-01	
8.77919e+00	7.66638e+03	2.29569e+14	7.80129e+01	2.85249e+26	8.94878e+01	3.71363e+28	8.93940e+01	1.39873e-01	
8.77993e+00	7.67813e+03	2.29921e+14	8.93940e+01	3.74215e+28	1.08141e+02	2.05779e+26	8.94877e+01	1.39838e-01	
8.78035e+00	7.68490e+03	2.30124e+14	7.79119e+01	2.85618e+26	8.94877e+01	3.76273e+28	8.93940e+01	1.39324e-01	
8.78073e+00	7.69098e+03	2.30306e+14	8.93940e+01	3.79129e+28	1.08429e+02	2.05231e+26	8.94876e+01	1.39079e-01	
8.78153e+00	7.70380e+03	2.30691e+14	7.78123e+01	2.85984e+26	8.94876e+01	3.81182e+28	8.93942e+01	1.38773e-01	
8.78154e+00	7.70397e+03	2.30696e+14	8.93942e+01	3.84042e+28	1.08719e+02	2.04684e+26	8.94875e+01	1.38311e-01	
8.78236e+00	7.71705e+03	2.31088e+14	8.94875e+01	3.86088e+28	1.09010e+02	2.04139e+26	8.95811e+01	1.38305e-01	
8.78273e+00	7.72306e+03	2.31268e+14	7.77142e+01	2.86345e+26	8.95811e+01	3.88130e+28	8.94876e+01	1.37751e-01	
8.78318e+00	7.73027e+03	2.31484e+14	8.94876e+01	3.90993e+28	1.09301e+02	2.03594e+26	8.95810e+01	1.37536e-01	
8.78396e+00	7.74272e+03	2.31857e+14	7.76174e+01	2.86702e+26	8.95810e+01	3.93029e+28	8.94877e+01	1.37195e-01	
8.78401e+00	7.74362e+03	2.31884e+14	8.94877e+01	3.95896e+28	1.09594e+02	2.03050e+26	8.95809e+01	1.36753e-01	
8.78485e+00	7.75706e+03	2.32287e+14	8.95809e+01	3.97927e+28	1.09888e+02	2.02508e+26	8.96743e+01	1.36722e-01	
